one,854,857,CARDINAL
one,1083,1086,CARDINAL
pdf,1676,1679,ORG
one,2484,2487,CARDINAL
canada,2573,2579,GPE
waterloo uoft,2592,2605,PERSON
year,2761,2765,DATE
u canada china,2790,2804,ORG
drw hudson river,2872,2888,PERSON
morgan stanley hsbc goldman canadian bank,2904,2945,ORG
tesla bloomberg microsoft,3078,3103,PERSON
darwin,3104,3110,PERSON
austin toronto,3149,3163,PERSON
first,3630,3635,ORDINAL
india,4640,4645,GPE
one,4893,4896,CARDINAL
engineering year,5106,5122,DATE
first,5473,5478,ORDINAL
cse,5567,5570,ORG
sunday,6733,6739,DATE
linkedin,6812,6820,ORG
focus java school,7315,7332,ORG
u canadian university deadline submit project college,7898,7951,ORG
month ago,8314,8323,DATE
hahaha,8441,8447,NORP
san jose,8645,8653,GPE
american,8694,8702,NORP
first,9034,9039,ORDINAL
sunday,9250,9256,DATE
one,9404,9407,CARDINAL
dl npc dl,9654,9663,PERSON
dl,9668,9670,PERSON
agg,9671,9674,ORG
npc dl pc,9701,9710,PERSON
dl,9711,9713,PERSON
one,10355,10358,CARDINAL
ishimwe,10725,10732,ORG
yesterday,11112,11121,DATE
hundred,11976,11983,CARDINAL
first,12414,12419,ORDINAL
sunday,12454,12460,DATE
sunday,12477,12483,DATE
wednesday,12759,12768,DATE
two,12816,12819,CARDINAL
sunday,12918,12924,DATE
next day,13327,13335,DATE
goldman sachs,13450,13463,ORG
monday,15210,15216,DATE
today,15297,15302,DATE
first,15427,15432,ORDINAL
korean,15441,15447,NORP
wooo mental energy learn something,15802,15836,ORG
last hour,15841,15850,TIME
joseph diverse life,16641,16660,PERSON
phd research machine learning,16947,16976,ORG
first,17156,17161,ORDINAL
two,18107,18110,CARDINAL
sunday,18566,18572,DATE
monday,19147,19153,DATE
acaconda,19406,19414,ORG
yesterday,19516,19525,DATE
today,19534,19539,DATE
gpa,19843,19846,ORG
sunday thursday,20280,20295,DATE
weekly,20627,20633,DATE
sunday,20638,20644,DATE
day,20755,20758,DATE
sunday,20772,20778,DATE
monday,20800,20806,DATE
noobie,21078,21084,GPE
today,21486,21491,DATE
next week,21586,21595,DATE
two,21614,21617,CARDINAL
california,21664,21674,GPE
one,21681,21684,CARDINAL
one,21707,21710,CARDINAL
zero,21791,21795,CARDINAL
two,21810,21813,CARDINAL
mid autumn,22268,22278,TIME
joseph liu,22348,22358,PERSON
first,22720,22725,ORDINAL
one,22760,22763,CARDINAL
span month,23586,23596,DATE
vid tina,23960,23968,PERSON
one,24312,24315,CARDINAL
sunday,24995,25001,DATE
aditya jan,25354,25364,DATE
tina huang,25441,25451,PERSON
two,26272,26275,CARDINAL
today,26382,26387,DATE
notifs,26626,26632,PERSON
india,28266,28271,GPE
india,28298,28303,GPE
india,28636,28641,GPE
first,28798,28803,ORDINAL
indian,29150,29156,NORP
gre,29177,29180,ORG
msg count cte group,29289,29308,ORG
one day,30018,30025,DATE
one,30852,30855,CARDINAL
one,31383,31386,CARDINAL
month,31395,31400,DATE
two,31452,31455,CARDINAL
last one,31530,31538,DATE
past week,31747,31756,DATE
one,31986,31989,CARDINAL
day,32800,32803,DATE
one,33449,33452,CARDINAL
one,33479,33482,CARDINAL
hahaha funny mentioned,33523,33545,PERSON
chicago summer,33573,33587,DATE
early one day,33599,33612,DATE
hii tina,33679,33687,ORG
first,33968,33973,ORDINAL
thousand,34170,34178,CARDINAL
goldman,34267,34274,ORG
summer,34286,34292,DATE
every week,35439,35449,DATE
first,35480,35485,ORDINAL
gpa,35523,35526,ORG
english,36049,36056,NORP
first,36162,36167,ORDINAL
one,36404,36407,CARDINAL
month,36843,36848,DATE
one,37038,37041,CARDINAL
mrm trgt,37278,37286,PERSON
tina bet heard,37392,37406,PERSON
past day,38250,38258,DATE
couple week ago,38469,38484,DATE
professor department,38485,38505,ORG
almost year old,39420,39435,DATE
month,39492,39497,DATE
today,40362,40367,DATE
first,41030,41035,ORDINAL
one,41406,41409,CARDINAL
phd research,41481,41493,ORG
one,41930,41933,CARDINAL
last year,41997,42006,DATE
last year,42028,42037,DATE
week ago,42750,42758,DATE
one morning,42764,42775,TIME
year ago,43220,43228,DATE
one,43342,43345,CARDINAL
europe,43370,43376,LOC
next year,43408,43417,DATE
ok send application company,43427,43454,ORG
one,43472,43475,CARDINAL
first,43732,43737,ORDINAL
next year,43930,43939,DATE
first,44834,44839,ORDINAL
first year,45329,45339,DATE
next year,45609,45618,DATE
los consejos,46052,46064,ORG
xico,46081,46085,PERSON
first,49365,49370,ORDINAL
